user_id,signup_date,country,plan_type,monthly_fee,days_active_last_30,sessions_last_30,support_tickets_last_30,payments_failed_last_90,avg_session_duration,feature_usage_score,last_login_days_ago,churn
81,2023-12-28,DE,basic,8.63,15,65,2.0,0,33.27,50.82,15,0
82,2025-03-10,NL,basic,8.99,4,15,1.0,0,25.5,20.72,17,1
83,2025-11-06,ES,standard,20.93,16,41,1.0,1,34.89,50.79,8,0
84,2024-03-31,NL,standard,20.37,18,30,0.0,2,35.66,52.95,9,0
85,2024-09-24,ES,standard,19.26,8,19,2.0,2,30.66,35.2,11,0
86,2024-07-24,IN,basic,9.02,19,45,2.0,1,31.05,54.34,12,0
87,2025-12-31,PL,basic,10.18,11,18,0.0,0,23.57,33.81,14,0
88,2025-06-27,PL,basic,9.38,10,14,0.0,0,31.27,34.43,9,0
89,2024-05-26,FR,standard,18.33,6,3,1.0,0,13.94,16.43,23,0
90,2024-03-31,FR,premium,39.49,19,16,0.0,0,24.82,,11,0
91,2025-03-12,DE,premium,40.5,22,62,0.0,1,33.32,,7,0
92,2024-04-24,IN,premium,39.72,13,27,0.0,0,46.99,44.73,17,0
93,2024-03-23,DE,premium,37.87,12,19,1.0,0,35.7,46.05,17,0
94,2025-04-22,DE,premium,41.47,12,9,0.0,0,38.94,40.73,9,0
95,2024-02-03,BR,basic,5.88,11,21,,0,34.64,40.84,12,0
96,2025-07-18,FR,basic,9.32,20,42,0.0,0,45.92,56.18,13,0
97,2025-08-29,US,basic,9.06,16,35,0.0,1,41.84,49.66,10,0
98,2024-08-09,PL,basic,10.21,14,17,0.0,0,35.71,41.31,19,0
99,2024-09-18,NL,basic,10.83,22,55,1.0,0,52.43,69.22,10,0
100,2025-11-24,US,basic,11.68,7,18,1.0,0,26.27,29.44,21,0
101,2024-03-31,US,premium,38.92,4,9,3.0,1,34.78,32.64,25,0
102,2025-10-03,DE,basic,10.87,8,18,0.0,0,34.84,21.32,9,0
103,2024-04-24,PL,premium,40.28,21,53,0.0,0,36.16,61.63,5,0
104,2026-03-19,PL,standard,17.42,12,46,0.0,0,34.32,45.94,10,0
105,2024-05-01,US,standard,22.84,14,37,5.0,0,16.41,35.46,13,0
106,2024-05-10,PL,standard,17.83,10,17,2.0,0,28.76,24.06,11,0
107,2024-05-16,US,basic,10.62,11,16,3.0,0,27.31,38.37,18,0
108,2024-08-24,FR,standard,20.57,9,12,3.0,1,22.31,15.65,8,1
109,2025-02-08,ES,basic,10.4,15,45,0.0,1,31.0,48.16,9,0
110,2024-07-20,US,premium,39.25,17,25,0.0,0,37.65,34.98,7,0
111,2025-07-27,US,basic,11.23,6,11,2.0,0,16.18,,17,0
112,2024-05-15,FR,basic,7.65,21,36,0.0,1,57.76,71.64,5,0
113,2024-11-27,IN,standard,19.89,8,23,0.0,2,33.29,35.75,17,0
114,2025-02-19,ES,standard,19.14,18,25,1.0,0,30.4,56.71,8,0
115,2025-01-10,ES,basic,8.97,15,38,1.0,1,37.24,43.07,12,0
116,2024-11-16,US,standard,20.63,20,50,0.0,0,44.69,64.53,6,0
117,2026-02-21,US,basic,11.61,7,21,2.0,2,25.67,20.99,11,0
118,2025-11-24,PL,standard,19.48,18,38,,0,29.3,51.45,10,0
119,2025-08-24,DE,basic,11.16,17,28,0.0,0,57.74,56.71,16,0
120,2025-12-16,NL,basic,10.06,7,16,0.0,0,32.84,29.76,14,0
121,2025-03-08,IN,basic,8.65,10,27,0.0,1,15.57,18.82,17,0
122,2024-08-21,US,basic,9.6,7,27,1.0,1,32.87,25.49,12,0
123,2024-09-02,PL,basic,9.54,12,35,1.0,0,31.98,41.4,10,0
124,2025-02-09,US,basic,8.95,14,24,0.0,0,31.28,30.9,13,0
125,2024-03-12,FR,basic,10.63,3,10,2.0,1,12.84,4.08,18,0
126,2024-11-19,BR,basic,10.34,9,14,1.0,3,30.57,26.92,21,1
127,2026-01-16,BR,standard,17.6,15,56,0.0,1,24.35,51.97,11,0
128,2024-05-29,IN,basic,7.51,16,50,0.0,0,,54.52,6,0
129,2024-11-11,IN,standard,20.63,11,18,1.0,0,38.42,41.67,13,0
130,2024-09-19,ES,premium,38.77,17,24,1.0,1,34.38,52.26,9,0
131,2024-11-19,ES,basic,10.44,25,58,1.0,0,43.34,89.93,7,0
132,2024-11-29,BR,premium,41.16,12,32,0.0,0,41.28,39.76,13,0
133,2026-01-06,US,basic,8.08,18,42,1.0,1,32.99,60.34,10,0
134,2024-11-24,IN,basic,7.87,6,19,1.0,1,22.75,20.89,24,0
135,2024-05-03,ES,standard,22.5,6,9,2.0,0,15.53,,12,1
136,2025-07-04,DE,standard,20.52,23,46,0.0,1,36.76,76.53,4,0
137,2024-10-17,FR,premium,39.36,10,26,1.0,1,27.55,26.12,14,0
138,2026-02-27,FR,basic,8.59,16,24,0.0,0,41.76,52.14,8,0
139,2025-05-27,US,standard,19.22,1,1,1.0,0,13.89,3.09,20,0
140,2025-03-11,IN,basic,8.2,17,38,1.0,1,46.72,66.99,9,0
141,2023-11-22,DE,basic,11.32,6,8,1.0,2,23.58,8.57,16,0
142,2025-09-20,PL,basic,8.82,20,66,,0,28.84,72.93,6,0
143,2025-07-28,PL,premium,41.63,20,50,1.0,0,36.68,61.17,7,0
144,2025-04-04,PL,basic,9.39,19,23,0.0,0,48.08,42.67,8,0
145,2023-11-13,FR,standard,18.42,12,44,1.0,0,18.47,40.97,24,0
146,2024-03-13,DE,standard,19.35,18,194,0.0,4,,62.96,10,0
147,2026-02-23,IN,standard,16.05,8,22,4.0,0,24.88,39.52,16,0
148,2025-09-03,PL,standard,19.81,16,25,0.0,0,24.85,54.48,11,0
149,2024-04-10,FR,premium,39.73,23,42,0.0,0,46.25,,7,0
150,2026-02-03,NL,basic,11.23,14,31,0.0,3,44.57,43.54,14,0
151,2024-03-11,US,basic,7.16,7,14,2.0,0,26.14,28.35,12,0
152,2025-07-24,NL,standard,21.73,22,35,2.0,0,42.77,59.05,10,0
153,2024-01-17,US,basic,11.22,7,23,2.0,0,44.21,,20,1
154,2025-07-13,US,basic,11.87,4,18,1.0,0,,18.02,23,0
155,2025-03-13,BR,basic,9.91,17,41,0.0,1,56.76,52.69,10,0
156,2024-08-27,US,basic,11.51,14,50,3.0,1,42.97,57.17,11,0
157,2025-12-06,US,basic,7.78,17,16,1.0,0,35.8,51.56,10,0
158,2024-11-26,US,basic,11.06,16,29,2.0,0,37.14,46.51,9,1
159,2025-01-10,FR,premium,38.83,22,52,0.0,2,39.18,62.06,7,0
160,2024-05-13,PL,basic,7.51,10,24,3.0,1,34.87,40.58,14,0
161,2023-11-10,US,premium,38.3,18,29,1.0,0,43.4,64.31,5,0
162,2024-08-25,IN,premium,40.0,21,70,2.0,0,41.79,81.18,7,0
163,2025-04-04,PL,basic,8.75,19,27,1.0,0,27.99,56.29,15,0
164,2025-04-06,US,standard,20.55,22,45,2.0,0,46.75,55.04,3,0
165,2025-03-27,US,standard,17.28,15,36,0.0,1,41.68,,13,0
166,2024-04-16,NL,standard,16.8,23,58,1.0,0,31.21,77.88,10,0
167,2025-06-19,PL,basic,12.05,13,30,0.0,1,33.76,41.61,9,0
168,2025-10-31,BR,basic,11.35,21,34,1.0,0,44.36,53.86,8,0
169,2025-06-08,PL,basic,8.42,18,50,0.0,0,46.63,55.33,11,0
170,2026-03-06,US,standard,19.99,10,20,1.0,0,25.44,48.54,21,0
171,2025-12-23,FR,premium,41.52,7,17,1.0,0,30.98,12.76,13,0
172,2026-01-06,IN,standard,20.62,14,12,1.0,1,33.18,32.28,9,0
173,2024-05-23,DE,standard,20.21,21,45,3.0,0,40.02,58.99,10,0
174,2024-07-05,IN,premium,41.63,15,22,1.0,0,25.69,40.17,12,0
175,2024-07-27,BR,standard,18.89,24,41,,1,13.85,81.98,7,0
176,2025-02-17,IN,basic,10.04,14,18,1.0,0,29.8,50.09,9,0
177,2024-07-10,FR,premium,39.96,13,18,0.0,0,41.96,,14,0
178,2025-11-05,DE,basic,9.58,15,36,1.0,1,37.03,48.0,5,0
179,2024-02-01,US,basic,9.41,3,4,2.0,0,28.44,6.12,17,0
180,2025-01-14,US,standard,20.1,4,16,1.0,0,32.63,20.52,17,0
181,2023-12-30,IN,premium,40.04,23,55,2.0,1,41.46,75.08,2,0
182,2025-11-13,US,basic,8.42,15,32,0.0,0,,44.61,9,0
183,2025-01-17,US,standard,21.19,18,27,2.0,1,16.06,47.52,14,0
184,2024-07-28,US,basic,8.53,12,37,1.0,0,18.9,32.44,21,0
185,2025-01-18,US,basic,9.66,9,8,1.0,1,19.03,23.1,15,0
186,2025-03-02,PL,basic,9.55,18,23,1.0,0,48.41,52.39,7,0
187,2025-11-01,FR,standard,20.53,21,49,2.0,0,40.89,69.13,9,0
188,2025-04-28,ES,premium,36.81,9,25,3.0,0,25.92,32.83,16,0
189,2025-08-30,US,basic,11.33,12,37,0.0,0,30.5,39.59,10,0
190,2025-07-06,IN,basic,8.97,22,40,1.0,0,36.43,68.64,7,0
191,2024-08-08,FR,basic,11.82,13,33,1.0,0,40.61,48.42,13,0
192,2024-09-23,FR,basic,9.27,8,12,3.0,0,28.52,18.45,8,0
193,2024-10-13,NL,standard,19.92,11,24,0.0,0,43.82,39.93,17,0
194,2025-05-15,ES,standard,22.86,8,17,0.0,0,11.75,31.0,12,0
195,2023-12-12,NL,standard,19.57,23,49,0.0,0,47.36,69.7,10,0
196,2026-01-08,US,basic,11.85,20,34,1.0,0,39.0,54.85,4,0
197,2025-05-31,US,standard,20.05,14,43,0.0,1,35.73,49.45,6,1
198,2025-12-13,IN,basic,10.61,20,39,0.0,1,,53.25,16,0
199,2025-06-04,DE,basic,10.09,11,24,2.0,1,30.15,37.13,19,1
200,2023-12-10,IN,premium,41.26,21,69,1.0,2,51.05,77.16,7,0
201,2025-05-11,BR,standard,18.96,5,12,1.0,2,14.13,23.17,13,0
202,2024-01-25,BR,premium,38.51,10,18,1.0,0,30.66,30.43,12,0
203,2025-01-19,PL,premium,39.03,12,34,0.0,0,19.91,30.16,13,1
204,2024-07-25,IN,standard,20.14,16,187,4.0,1,316.51,49.34,8,0
205,2025-02-21,US,premium,39.66,14,26,0.0,0,36.42,52.17,11,0
206,2025-08-06,US,basic,11.06,17,36,1.0,0,46.57,52.17,8,0
207,2024-05-30,IN,basic,11.95,6,24,0.0,0,17.23,16.96,18,0
208,2023-12-03,FR,basic,8.53,19,41,1.0,1,31.31,51.33,14,0
209,2025-08-08,DE,basic,8.89,15,35,0.0,1,33.29,55.49,11,0
210,2024-05-17,FR,basic,7.84,10,27,0.0,1,32.55,37.84,10,0
211,2025-08-10,IN,basic,13.04,10,9,2.0,0,18.92,15.23,18,0
212,2024-07-10,PL,standard,20.45,8,24,1.0,1,14.86,29.47,15,0
213,2024-05-08,BR,standard,20.71,6,11,1.0,1,19.39,21.96,17,0
214,2025-02-28,FR,standard,17.98,11,12,0.0,0,,39.92,10,0
215,2024-06-22,DE,basic,9.99,7,19,1.0,0,27.5,23.0,8,0
216,2025-08-01,BR,standard,20.75,5,12,1.0,1,29.32,15.76,14,0
217,2026-01-16,DE,basic,9.61,15,33,2.0,0,41.34,46.32,13,0
218,2026-01-01,BR,basic,11.6,22,51,1.0,0,42.85,69.31,12,0
219,2025-03-02,IN,basic,13.46,6,9,0.0,0,12.44,17.64,16,0
220,2024-01-30,US,basic,8.57,21,49,1.0,0,45.31,69.1,6,0
221,2025-12-05,US,basic,8.46,17,44,1.0,0,35.79,45.19,8,0
222,2025-02-22,US,standard,18.67,21,59,1.0,0,42.93,74.51,6,0
223,2024-07-21,NL,standard,22.4,3,5,0.0,0,34.64,7.4,14,0
224,2025-09-30,IN,standard,21.55,12,30,0.0,0,36.78,33.92,12,0
225,2024-07-06,US,basic,9.79,23,48,2.0,1,41.81,62.3,6,0
226,2025-07-02,NL,standard,20.04,22,30,1.0,1,42.28,69.67,5,0
227,2024-04-21,FR,standard,18.77,17,26,0.0,0,44.79,41.04,13,0
228,2024-11-07,FR,basic,11.33,9,16,0.0,0,26.45,29.73,21,0
229,2024-12-05,ES,standard,19.42,27,68,0.0,0,39.01,82.03,7,0
230,2025-10-23,US,standard,19.6,13,19,1.0,0,34.09,49.88,14,0
231,2025-02-16,US,basic,10.9,23,49,3.0,0,31.56,78.4,9,0
232,2024-03-10,BR,basic,9.71,21,38,0.0,0,42.87,62.96,9,0
233,2026-03-09,US,standard,19.64,16,25,0.0,1,36.48,50.09,11,0
234,2024-06-04,IN,basic,10.01,17,56,0.0,0,40.9,62.38,14,0
235,2025-01-21,US,basic,11.18,15,41,1.0,1,31.45,46.85,7,0
236,2024-07-08,US,basic,12.46,24,82,2.0,0,54.14,76.6,5,0
237,2024-08-25,US,premium,40.87,6,13,1.0,1,29.65,5.26,11,1
238,2025-03-15,FR,basic,11.19,26,43,2.0,0,,77.34,7,0
239,2025-06-30,US,basic,9.69,4,6,,1,25.33,17.44,14,0
240,2024-09-26,US,basic,8.93,14,27,1.0,0,43.42,35.43,10,0
241,2025-11-24,NL,premium,40.97,25,89,1.0,1,43.58,90.74,9,0
242,2024-11-02,DE,standard,20.25,7,26,1.0,2,20.49,17.0,9,0
243,2026-01-02,DE,premium,37.86,24,27,2.0,0,46.34,68.46,9,0
244,2024-09-06,US,basic,9.5,8,16,0.0,0,34.33,38.21,13,1
245,2024-09-24,DE,basic,9.87,9,22,3.0,0,32.17,27.24,11,0
246,2026-01-11,DE,standard,19.22,19,51,3.0,0,41.74,48.92,12,0
247,2024-06-04,IN,basic,12.21,14,22,0.0,0,28.67,33.95,11,0
248,2025-03-29,US,standard,20.71,20,50,4.0,1,21.91,,10,0
249,2024-05-10,NL,premium,42.05,28,59,1.0,1,43.34,89.56,3,0
250,2026-02-17,ES,basic,10.39,5,13,3.0,0,27.26,14.13,16,1
251,2025-10-20,US,premium,40.11,17,43,2.0,0,25.99,45.72,6,0
252,2025-01-20,US,standard,18.59,7,13,2.0,0,9.79,8.68,11,0
253,2025-10-13,US,basic,10.01,21,59,4.0,0,40.42,65.23,14,0
254,2025-06-12,IN,standard,20.01,6,7,0.0,0,22.04,15.67,22,0
255,2024-08-28,US,basic,7.94,24,71,1.0,0,28.14,,6,0
256,2025-11-20,NL,standard,19.18,20,38,1.0,0,43.17,73.25,6,0
257,2024-08-13,IN,basic,9.51,18,42,0.0,1,26.33,32.84,12,0
258,2025-12-26,PL,basic,10.61,19,33,0.0,0,52.41,46.33,8,0
259,2025-10-24,BR,standard,20.68,8,19,2.0,1,31.01,31.19,14,0
260,2024-10-30,ES,basic,9.12,3,5,0.0,0,27.43,8.57,14,1
261,2024-05-04,US,basic,10.69,7,21,2.0,1,25.33,19.22,12,0
262,2025-10-28,FR,standard,19.72,8,10,2.0,0,22.08,24.51,12,0
263,2025-07-08,DE,basic,5.69,12,21,2.0,0,30.88,42.18,16,0
264,2024-01-11,ES,basic,9.26,20,53,0.0,0,51.98,62.13,12,0
265,2023-11-15,BR,basic,11.61,5,6,0.0,1,33.62,16.55,14,0
266,2024-11-05,PL,basic,7.47,18,41,2.0,1,28.18,58.97,10,0
267,2025-03-02,US,basic,10.16,3,6,2.0,0,12.0,11.03,15,0
268,2025-05-28,ES,standard,22.37,23,191,0.0,1,393.34,72.43,8,0
269,2024-10-09,FR,premium,38.85,12,41,2.0,3,39.32,35.95,15,0
270,2024-10-27,FR,basic,9.99,11,21,1.0,0,15.56,34.05,12,0
271,2025-07-12,ES,premium,38.03,12,37,1.0,1,38.75,46.57,10,0
272,2026-03-06,FR,standard,22.43,13,37,2.0,0,39.04,47.01,14,0
273,2025-11-14,FR,standard,19.87,15,28,1.0,0,36.03,44.68,6,0
274,2023-12-13,BR,standard,20.06,6,144,1.0,0,238.83,19.35,14,0
275,2025-03-27,US,standard,22.02,19,31,2.0,2,44.26,46.12,11,0
276,2025-01-30,DE,standard,20.98,12,36,0.0,0,28.41,27.95,9,0
277,2025-02-12,US,standard,18.68,2,5,,1,11.33,8.29,18,0
278,2024-05-14,US,standard,19.02,18,29,1.0,0,24.17,49.81,8,0
279,2026-01-28,NL,basic,10.73,16,28,0.0,1,20.99,39.96,15,0
280,2026-01-13,BR,basic,9.05,3,3,1.0,1,33.76,12.01,13,0
281,2025-07-29,DE,standard,16.81,11,35,2.0,0,42.37,36.17,12,1
282,2025-01-26,FR,basic,9.91,1,0,2.0,1,30.85,17.61,19,1
283,2024-08-19,FR,basic,7.77,21,45,1.0,0,,71.89,8,0
284,2025-01-23,IN,basic,12.41,10,37,2.0,1,14.24,33.39,13,0
285,2025-03-07,ES,basic,10.26,11,35,0.0,0,23.68,44.46,20,0
286,2023-12-31,ES,standard,18.63,12,21,2.0,1,24.38,33.81,14,1
287,2025-11-05,FR,standard,18.94,25,42,1.0,0,44.14,80.46,8,0
288,2024-11-13,DE,basic,7.16,2,4,3.0,0,,7.96,13,1
289,2024-12-09,FR,basic,8.34,23,54,0.0,0,57.92,75.95,3,0
290,2025-02-07,BR,basic,11.51,22,39,,0,37.28,56.5,4,0
291,2024-04-22,FR,basic,13.34,14,34,0.0,1,16.41,42.44,9,0
292,2025-08-05,IN,standard,21.08,16,39,1.0,1,26.42,39.44,10,0
293,2023-12-17,BR,standard,19.85,15,19,2.0,1,42.89,39.71,9,0
294,2025-06-10,DE,standard,19.34,7,9,4.0,0,26.77,15.42,17,0
295,2024-12-06,DE,standard,18.56,14,33,,0,32.68,43.98,18,0
296,2024-12-28,DE,premium,43.08,17,29,1.0,0,33.59,42.26,11,0
297,2024-03-16,US,standard,19.71,18,36,0.0,0,33.56,61.03,13,0
298,2025-03-09,US,standard,23.16,23,41,1.0,0,35.98,75.11,11,0
299,2025-07-21,IN,basic,12.08,8,12,1.0,1,42.24,31.75,14,0
300,2026-03-07,FR,basic,7.38,18,15,0.0,1,52.77,61.33,8,0
301,2025-05-13,US,premium,38.99,23,71,0.0,0,41.07,82.06,4,0
302,2024-04-06,BR,basic,8.99,10,29,0.0,0,17.81,42.36,7,0
303,2026-03-17,IN,basic,9.87,25,34,2.0,0,44.27,69.72,6,0
304,2024-02-05,DE,premium,39.9,23,47,1.0,0,47.41,74.58,5,0
305,2024-12-08,PL,standard,24.48,25,32,0.0,0,48.39,66.68,7,0
306,2025-11-23,ES,basic,8.37,17,45,0.0,0,48.98,65.32,16,0
307,2025-07-06,BR,basic,10.33,15,43,1.0,0,27.58,76.13,13,0
308,2024-11-28,IN,basic,10.91,17,41,1.0,0,43.07,54.3,9,0
309,2025-06-24,US,standard,19.99,16,22,1.0,0,34.81,50.42,19,0
310,2025-12-21,ES,basic,10.16,20,40,2.0,0,48.67,68.66,6,0
311,2024-08-23,FR,premium,38.42,15,28,0.0,0,35.57,52.16,10,0
312,2024-08-18,ES,premium,40.15,13,29,1.0,0,40.79,40.92,17,0
313,2025-12-12,BR,standard,20.76,16,26,0.0,1,17.08,51.99,4,0
314,2025-07-24,US,standard,20.48,25,59,1.0,0,45.22,67.63,6,0
315,2025-08-25,US,basic,10.85,7,10,0.0,2,21.89,18.21,18,1
316,2024-08-29,IN,basic,12.11,12,12,1.0,2,27.73,30.62,10,0
317,2024-06-28,BR,standard,21.4,19,49,1.0,0,47.64,61.69,17,0
318,2024-07-01,US,basic,10.1,17,44,0.0,1,33.04,56.57,11,0
319,2023-12-30,IN,basic,8.23,2,5,2.0,0,13.19,9.07,19,1
320,2024-05-26,NL,basic,9.09,22,50,1.0,1,38.58,72.53,8,0
321,2025-06-20,FR,basic,9.66,17,45,0.0,1,26.81,44.25,8,0
322,2025-12-22,FR,basic,10.37,23,30,0.0,0,31.6,58.41,9,0
323,2024-10-07,US,standard,19.27,11,23,1.0,1,31.5,29.92,11,0
324,2024-01-19,PL,standard,18.59,16,42,0.0,1,37.58,49.98,18,0
325,2023-11-28,DE,standard,18.21,22,40,1.0,1,42.64,70.01,9,0
326,2025-09-06,NL,premium,37.51,11,33,0.0,0,27.15,39.57,12,0
327,2025-09-01,DE,basic,9.64,16,37,1.0,1,30.86,55.53,10,0
328,2026-02-21,BR,premium,37.79,3,6,1.0,1,24.11,12.47,24,1
329,2025-11-23,DE,standard,18.49,12,20,0.0,1,28.0,31.06,15,0
330,2024-11-28,US,basic,9.4,11,36,3.0,0,28.67,31.54,22,0
331,2024-12-05,PL,premium,37.99,7,15,0.0,1,24.48,28.27,16,0
332,2025-05-07,FR,basic,10.56,9,13,0.0,1,32.93,26.34,12,1
333,2025-06-29,BR,basic,11.1,26,44,2.0,0,37.4,81.91,3,0
334,2024-04-03,ES,basic,9.17,7,11,3.0,0,23.13,17.53,13,0
335,2025-02-18,ES,basic,9.33,19,48,0.0,0,37.97,61.43,13,0
336,2024-04-21,NL,basic,10.8,7,22,1.0,0,,34.33,15,1
337,2023-12-09,US,standard,18.92,14,15,0.0,0,43.96,43.11,12,0
338,2025-06-23,BR,premium,38.82,21,39,0.0,0,32.16,73.86,6,0
339,2025-09-30,NL,basic,11.78,15,44,1.0,0,15.53,42.34,11,0
340,2023-12-17,DE,standard,21.32,24,58,2.0,0,35.45,70.28,4,0
341,2024-09-19,US,basic,10.89,26,26,,1,34.46,59.04,10,0
342,2025-07-15,PL,standard,21.38,10,38,2.0,2,6.62,43.96,9,0
